chemcode	name	cas
mct	MONOCROTALINE	315-22-0
mma	MONOMETHYLARSONIC ACID	124-58-3
cfd	MONONITROSOCAFFEIDINE	145438-96-6
mas	MONOSODIUM ASPARTATE	3792-50-5
dmg	dl-MONOSODIUM GLUTAMATE	32221-81-1
msg	l-MONOSODIUM GLUTAMATE	142-47-2
mss	MONOSODIUM SUCCINATE	2922-54-5
mtq	4-MORPHOLINO-2-(5-NITRO-2-THIENYL)QUINAZOLINE	58139-48-3
mfo	l-5-MORPHOLINOMETHYL-3-[(5-NITROFURFURYLIDENE)AMINO]-2-OXAZOLIDINONE.HCl	3031-51-4
myn	MYLERAN	55-98-1
naf	NAFENOPIN	3771-19-5
nxa	NALIDIXIC ACID	389-08-2
nth	NAPHTHALENE	91-20-3
nam	1-NAPHTHALENE ACETAMIDE	86-86-2
nla	1-NAPHTHALENE ACETIC ACID	86-87-3
nda	"1,5-NAPHTHALENEDIAMINE"	2243-62-1
ned	N-(1-NAPHTHYL)ETHYLENEDIAMINE.2HCl	1465-25-4
bpd	sym.-dibeta-NAPHTHYL-p-PHENYLENEDIAMINE	93-46-9
ntu	1-(1-NAPHTHYL)-2-THIOUREA	86-88-4
1na	1-NAPHTHYLAMINE	134-32-7
na2	2-NAPHTHYLAMINE	91-59-8
nys	"2-NAPHTHYLAMINO,1-SULFONIC ACID"	81-16-3
nef	NEFIRACETAM	77191-36-7
nsg	NEOSUGAR	88385-81-3
nik	NICKEL	7440-02-0
nka	NICKEL (II) ACETATE	373-02-4
ndd	NICKEL DIBUTYLDITHIOCARBAMATE	13927-77-0
nih	NICKEL (II) SULFATE HEXAHYDRATE	10101-97-0
ncm	NICOTINAMIDE	98-92-0
nct	NICOTINE	54-11-5
ncc	NICOTINE.HCl	2820-51-1
ntd	NICOTINIC ACID	59-67-6
nah	NICOTINIC ACID HYDRAZIDE	553-53-7
ngs	NIGROSINE	8005-03-6
son	"NIOBATE, SODIUM"	12034-09-2
nit	NITHIAZIDE	139-94-6
snt	"NITRATE, SODIUM"	7631-99-4
nox	NITRIC OXIDE	10102-43-9
nta	NITRILOTRIACETIC ACID	139-13-9
nat	"NITRILOTRIACETIC ACID, TRISODIUM SALT, MONOHYDRATE"	18662-53-8
sdn	"NITRITE, SODIUM"	7632-00-0
nap	3-NITRO-p-ACETOPHENETIDE	1777-84-0
nan	5-NITRO-o-ANISIDINE	99-59-2
fsz	5-NITRO-2-FURALDEHYDE SEMICARBAZONE	59-87-0
nfm	5-NITRO-2-FURAMIDOXIME	772-43-0
nfd	5-NITRO-2-FURANMETHANEDIOL DIACETATE	92-55-7
nfp	"3-(5-NITRO-2-FURYL)-IMIDAZO(1,2-alpha)PYRIDINE"	75198-31-1
nfo	"5-(5-NITRO-2-FURYL)-1,3,4-OXADIAZOLE-2-OL"	2122-86-3
foa	"N-{[3-(5-NITRO-2-FURYL)-1,2,4-OXADIAZOLE-5-YL]-METHYL}ACETAMIDE"	36133-88-7
fta	"N-[5-(5-NITRO-2-FURYL)-1,3,4-THIADIAZOL-2-YL]ACETAMIDE"	2578-75-8
ntz	4-(5-NITRO-2-FURYL)THIAZOLE	53757-28-1
nfa	N-[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]ACETAMIDE	531-82-8
nft	N-[4-(5-NITRO-2-FURYL)-2-THIAZOLYL]FORMAMIDE	24554-26-5
ntb	"N,N'-[6-(5-NITRO-2-FURYL)-s-TRIAZINE-2,4-DIYL]BISACETAMIDE"	51325-35-0
3nh	3-NITRO-3-HEXENE	4812-22-0
nha	3-NITRO-4-HYDROXYPHENYLARSONIC ACID	121-19-7
2nd	2-NITRO-p-PHENYLENEDIAMINE	5307-14-2
4nd	4-NITRO-o-PHENYLENEDIAMINE	99-56-9
nto	5-NITRO-o-TOLUIDINE	99-55-8
nac	5-NITROACENAPHTHENE	602-87-9
pni	p-NITROANILINE	100-01-6
oni	o-NITROANISOLE	91-23-6
naa	4-NITROANTHRANILIC ACID	619-17-0
nrb	NITROBENZENE	98-95-3
nbi	6-NITROBENZIMIDAZOLE	94-52-0
nbz	p-NITROBENZOIC ACID	62-23-7
1ni	1-NITROBUTANE	627-05-4
2ni	2-NITROBUTANE	600-24-8
net	NITROETHANE	79-24-3
nif	NITROFEN	1836-75-5
ntf	2-NITROFLUORENE	607-57-8
nff	1-[(5-NITROFURFURYLIDENE)AMINO]HYDANTOIN	67-20-9
nfi	1-[(5-NITROFURFURYLIDENE)AMINO]-2-IMIDAZOLIDINONE	555-84-0
noo	NITROGEN DIOXIDE	10102-44-0
dcl	NITROGEN MUSTARD	51-75-2
mtn	NITROGEN MUSTARD N-OXIDE	126-85-2
nim	NITROMETHANE	75-52-5
nnp	1-NITRONAPHTHALENE	86-57-7
3ni	3-NITROPENTANE	551-88-2
1np	1-NITROPROPANE	108-03-2
2np	2-NITROPROPANE	79-46-9
3np	3-NITROPROPIONIC ACID	504-88-1
npr	1-NITROPYRENE	5522-43-0
nq6	6-NITROQUINOLINE	613-50-3
nq8	8-NITROQUINOLINE	607-35-2
nbg	NITROSO-BAYGON	38777-13-8
nba	"N-NITROSO-BIS-(4,4,4-TRIFLUORO-N-BUTYL)AMINE"	83335-32-4
ndt	"1-NITROSO-5,6-DIHYDROTHYMINE"	62641-67-2
ndi	"1-NITROSO-5,6-DIHYDROURACIL"	16813-36-8
dhh	"N-NITROSO-2,3-DIHYDROXYPROPYL-2-HYDROXYPROPYLAMINE"	89911-79-5
npp	"NITROSO-2,3-DIHYDROXYPROPYL-2-OXOPROPYLAMINE"	92177-50-9
nde	"N-NITROSO-2,3-DIHYDROXYPROPYLETHANOLAMINE"	89911-78-4
dnb	"1-NITROSO-3,5-DIMETHYL-4-BENZOYLPIPERAZINE"	61034-40-0
ndm	"NITROSO-2,6-DIMETHYLMORPHOLINE"	1456-28-6
chu	1-NITROSO-1-HYDROXYETHYL-3-CHLOROETHYLUREA	96806-34-7
nhy	N-NITROSO-2-HYDROXYMORPHOLINE	67587-52-4
cpn	1-NITROSO-1-(2-HYDROXYPROPYL)-3-CHLOROETHYLUREA	96806-35-8
iea	N-NITROSO-(2-HYDROXYPROPYL)-(2-HYDROXYETHYL)AMINE	75896-33-2
nnh	N-NITROSO-3-HYDROXYPYRROLIDINE	56222-35-6
ibn	N-NITROSO-N-ISOBUTYLUREA	760-60-1
nmd	N-NITROSO-N-METHYL-N-DODECYLAMINE	55090-44-3
nmf	N-NITROSO-N-METHYL-4-FLUOROANILINE	937-25-7
nmn	N-NITROSO-N-METHYL-4-NITROANILINE	943-41-9
npe	NITROSO-N-METHYL-N-(2-PHENYL)ETHYLAMINE	13256-11-6
nmt	N-NITROSO-N-METHYL-N-TETRADECYLAMINE	75881-20-8
nmy	N-NITROSO-N-METHYLDECYLAMINE	75881-22-0
nmx	NITROSO-5-METHYLOXAZOLIDONE	79624-33-2
nnt	N-NITROSO-N-METHYLUREA	684-93-5
nmu	N-NITROSO-N-METHYLURETHAN	615-53-2
noz	"N-NITROSO-1,3-OXAZOLIDINE"	39884-52-1
nzn	3-NITROSO-2-OXAZOLIDINONE	38347-74-9
noa	NITROSO-2-OXOPROPYLETHANOLAMINE	92177-49-6
dpp	DI(N-NITROSO)-PERHYDROPYRIMIDINE	15973-99-6
npu	N-NITROSO-2-PHENYLETHYLUREA	---
nhd	"NITROSO-1,2,3,6-TETRAHYDROPYRIDINE"	55556-92-8
nte	"N-NITROSO(2,2,2-TRIFLUOROETHYL)ETHYLAMINE"	82018-90-4
ntq	"N-NITROSO-2,2,4-TRIMETHYL-1,2-DIHYDROQUINOLINE POLYMER"	29929-77-9
ntp	"1-NITROSO-3,4,5-TRIMETHYLPIPERAZINE"	75881-18-4
nad	"N-NITROSOALLYL-2,3-DIHYDROXYPROPYLAMINE"	88208-16-6
hpa	N-NITROSOALLYL-2-HYDROXYPROPYLAMINE	91308-70-2
nao	N-NITROSOALLYL-2-OXOPROPYLAMINE	91308-71-3
nae	N-NITROSOALLYLETHANOLAMINE	91308-69-9
anr	NITROSOAMYLURETHAN	64005-62-5
nab	NITROSOANABASINE	1133-64-8
nph	N-NITROSOAZETIDINE	15216-10-1
bmu	N-NITROSOBENZTHIAZURON	51542-33-7
nhe	N-NITROSOBIS(2-HYDROXYPROPYL)AMINE	53609-64-6
noe	N-NITROSOBIS(2-OXOPROPYL)AMINE	60599-38-4
6fd	"N-NITROSOBIS(2,2,2-TRIFLUOROETHYL)AMINE"	625-89-8
ncd	NITROSOCHLORDIAZEPOXIDE	51715-17-4
ncn	N-NITROSOCIMETIDINE	73785-40-7
ndb	NITROSODIBUTYLAMINE	924-16-3
ntl	N-NITROSODIETHANOLAMINE	1116-54-7
den	N-NITROSODIETHYLAMINE	55-18-5
dmn	N-NITROSODIMETHYLAMINE	62-75-9
red	N-NITROSODIPHENYLAMINE	86-30-6
dpa	p-NITROSODIPHENYLAMINE	156-10-5
dpn	N-NITROSODIPROPYLAMINE	621-64-7
ntn	N-NITROSODITHIAZINE	114282-83-6
ndc	NITROSODODECAMETHYLENEIMINE	40580-89-0
npd	N-NITROSOEPHEDRINE	17608-59-2
men	NITROSOETHYLMETHYLAMINE	10595-95-6
enu	NITROSOETHYLURETHAN	614-95-9
ngv	N-NITROSOGUVACOLINE	55557-02-3
nhm	NITROSOHEPTAMETHYLENEIMINE	20917-49-1
nhx	N-NITROSOHEXAMETHYLENEIMINE	932-83-2
hyt	1-NITROSOHYDANTOIN	42579-28-2
nhp	NITROSOHYDROXYPROLINE	30310-80-6
nid	NITROSOIMINODIACETIC ACID	25081-31-6
nmc	NITROSOMETHYL-3-CARBOXYPROPYLAMINE	61445-55-4
nps	"N-NITROSOMETHYL-2,3-DIHYDROXYPROPYLAMINE"	86451-37-8
n2h	N-NITROSOMETHYL-(2-HYDROXYETHYL)AMINE	26921-68-6
n3h	N-NITROSOMETHYL-(3-HYDROXYPROPYL)AMINE	70415-59-7
nmh	N-NITROSOMETHYL-2-HYDROXYPROPYLAMINE	75411-83-5
moa	N-NITROSOMETHYL(2-OXOPROPYL)AMINE	55984-51-5
n2t	N-NITROSOMETHYL-(2-TOSYLOXYETHYL)AMINE	---
nyp	2-NITROSOMETHYLAMINOPYRIDINE	16219-98-0
nip	3-NITROSOMETHYLAMINOPYRIDINE	69658-91-9
nop	4-NITROSOMETHYLAMINOPYRIDINE	16219-99-1
nma	NITROSOMETHYLANILINE	614-00-6
nmp	NITROSOMETHYLPHENIDATE	55557-03-4
nsy	NITROSOMETHYLUNDECYLAMINE	68107-26-6
nsm	N-NITROSOMORPHOLINE	59-89-2
nnc	N'-NITROSONORNICOTINE	53759-22-1
n1o	N'-NITROSONORNICOTINE-1-N-OXIDE	78246-24-9
npa	NITROSOPIPECOLIC ACID	4515-18-8
npz	N-NITROSOPIPERAZINE	5632-47-3
nsd	N-NITROSOPIPERIDINE	100-75-4
npl	NITROSOPROLINE	7519-36-0
npy	N-NITROSOPYRROLIDINE	930-55-2
ntt	N-NITROSOTHIALDINE	81795-07-5
ntm	N-NITROSOTHIOMORPHOLINE	26541-51-5
nrt	o-NITROSOTOLUENE	611-23-4
ont	o-NITROTOLUENE	88-72-2
ntr	p-NITROTOLUENE	99-99-0
nso	NITROUS OXIDE	10024-97-2
nvl	NIVALENOL	23282-20-4
nbr	NONABROMOBIPHENYL	27753-52-2
nor	NORETHYNODREL	68-23-5
nhr	NORHARMAN	244-63-3
nlt	NORLESTRIN	8015-12-1
nvd	"NOVADELOX (18% BENZOYL PEROXIDE, 78% CALCIUM SULPHATE, 4% MAGNESIUM CARBONATE)"	94-36-0
oca	OCHRATOXIN A	303-47-9
ocs	OCTACHLOROSTYRENE	29082-74-4
coo	"OIL, CORN"	8001-30-7
sao	"OIL, SAFFLOWER"	8001-23-8
ols	"OLEATE, SODIUM"	143-19-1
ola	OLESTRA	121854-29-3
olt	OLTIPRAZ	64224-21-1
omp	OMEPRAZOLE	73590-58-6
cio	C.I. ACID ORANGE 3	6373-74-6
cao	C.I. ACID ORANGE 10	1936-15-8
oro	"OROTIC ACID, MONOSODIUM SALT"	154-85-8
ory	gamma-ORYZANOL	11042-64-1
ost	OSUTIDINE	140695-21-2
ovl	OVULEN	8056-92-6
oxl	OXAMYL	23135-22-0
ozp	OXAZEPAM	604-75-1
fa9	N-(9-OXO-2-FLUORENYL)ACETAMIDE	3096-50-2
oxo	OXOLINIC ACID	14698-29-4
ocu	1-(2-OXOPROPYL)NITROSO-3-(2-CHLOROETHYL)UREA	110559-85-8
opu	2-OXOPROPYLNITROSOUREA	89837-93-4
osf	1'-OXOSAFROLE	30418-53-2
oxp	OXPRENOLOL.HCl	6452-73-9
4ox	"4,4'-OXYDIANILINE"	101-80-4
ots	N-OXYDIETHYLENE THIOCARBAMYL-N-OXYDIETHYLENE SULFENAMIDE	13752-51-7
obs	N-OXYDIETHYLENEBENZOTHIAZOLE-2-SULFENAMIDE	102-77-2
oxm	OXYMETHOLONE	434-07-1
xth	OXYTETRACYCLINE.HCl	2058-46-0
ozo	OZONE	10028-15-6
pal	PALONIDIPINE.HCl	96515-74-1
par	PARATHION	56-38-2
pat	PATULIN	149-29-1
pvk	PENICILLIN VK	132-98-9
pnt	PENTACHLOROANISOLE	1825-21-4
5ce	PENTACHLOROETHANE	76-01-7
pnb	PENTACHLORONITROBENZENE	82-68-8
pcp	"2,3,4,5,6-PENTACHLOROPHENOL"	87-86-5
pch	"2,3,4,5,6-PENTACHLOROPHENOL (Dowicide EC-7)"	87-86-5
pct	"2,3,4,5,6-PENTACHLOROPHENOL, TECHNICAL GRADE"	87-86-5
pnd	PENTAERYTHRITOL TETRANITRATE WITH 80% D-LACTOSE MONOHYDRATE	78-11-5
pmf	PENTANAL METHYLFORMYLHYDRAZONE	57590-20-2
nng	N-PENTYL-N'-NITRO-N-NITROSOGUANIDINE	13010-10-1
amh	n-PENTYLHYDRAZINE.HCl	1119-68-2
ppo	PEPPERMINT OIL	8006-90-4
per	PERHEXILINE MALEATE	6724-53-4
pet	PETASITENINE	60102-37-6
phc	PHENACETIN	62-44-2
paz	PHENAZONE	60-80-0
pdm	PHENAZOPYRIDINE.HCl	136-40-3
pes	PHENESTERIN	3546-10-9
phs	PHENETHYL ISOTHIOCYANATE	2257-09-2
pnf	PHENFORMIN.HCl	834-28-6
pbl	PHENOBARBITAL	50-06-6
pbb	"PHENOBARBITAL, SODIUM"	57-30-7
pnl	PHENOL	108-95-2
php	PHENOLPHTHALEIN	77-09-8
tdt	PHENOTHIAZINE	92-84-2
dbz	PHENOXYBENZAMINE.HCl	63-92-3
pmt	"1-PHENYL-3,3-DIMETHYLTRIAZENE"	7227-91-0
pic	PHENYL ISOTHIOCYANATE	103-72-0
pmp	1-PHENYL-3-METHYL-5-PYRAZOLONE	89-25-8
pna	PHENYL-beta-NAPHTHYLAMINE	135-88-6
ppd	N-PHENYL-p-PHENYLENEDIAMINE.HCl	2198-59-6
pdc	"2-PHENYL-1,3-PROPANEDIOL DICARBAMATE"	25451-15-4
cv4	(E)-7-PHENYL-7-(3-PYRIDYL)-6-HEPTENOIC ACID	89667-40-3
phu	1-PHENYL-2-THIOUREA	103-85-5
phn	1-PHENYLAZO-2-NAPHTHOL	842-07-9
pbt	PHENYLBUTAZONE	50-33-9
pda	m-PHENYLENEDIAMINE	108-45-2
ppa	p-PHENYLENEDIAMINE	106-50-3
mpd	m-PHENYLENEDIAMINE.2HCl	541-69-5
opa	o-PHENYLENEDIAMINE.2HCl	615-28-1
phd	p-PHENYLENEDIAMINE.2HCl	624-18-0
pyh	PHENYLEPHRINE.HCl	61-76-7
pme	PHENYLETHYL-3-METHYLCAFFEATE	71835-85-3
phz	PHENYLETHYLHYDRAZINE SULFATE	156-51-4
pge	PHENYLGLYCIDYL ETHER	122-60-1
phi	6-PHENYLHEXYL ISOTHIOCYANATE	133920-06-6
phy	PHENYLHYDRAZINE	100-63-0
plz	PHENYLHYDRAZINE.HCl	59-88-1
bpi	beta-PHENYLISOPROPYLHYDRAZINE.HCl	66-05-7
pma	PHENYLMERCURIC ACETATE	62-38-4
opl	o-PHENYLPHENOL	90-43-7
pol	p-PHENYLPHENOL	92-69-3
spp	"o-PHENYLPHENOL, SODIUM"	132-27-4
3pi	3-PHENYLPROPYL ISOTHIOCYNATE	2627-27-2
apy	PhIP.HCl	---
pho	PHORBOL	17673-25-5
pmd	PHOSPHAMIDON	13171-21-6
ppn	PHOSPHINE	7803-51-2
pht	PHTHALAMIDE	88-96-0
pha	PHTHALIC ANHYDRIDE	85-44-9
pcm	"PICLORAM, TECHNICAL GRADE"	1918-02-1
pdz	PILDRALAZINE.2HCl	56393-22-7
pil	PILOCARPINE	92-13-7
pan	PIMARICIN	7681-93-8
prz	PIPERAZINE	110-85-0
ppr	PIPERIDINE	110-89-4
pip	PIPERONYL BUTOXIDE	51-03-6
btc	PIPERONYL BUTOXIDE IN SOLVENT	51-03-6
psu	PIPERONYL SULFOXIDE	120-62-7
pir	PIRMENOL.HCl	61477-94-9
pxc	PIROXICAM	36322-90-4
pvl	PIVALOLACTONE	1955-45-9
plc	POLICOSANOL	142583-61-7
pbm	POLYBROMINATED BIPHENYL MIXTURE	67774-32-7
pbp	POLYBROMINATED BIPHENYLS	59536-65-1
pdx	"POLYDEXTROSE, ACID FORM"	68424-04-4
poe	POLYOXYETHYLENE(10)NONYLPHENYL ETHER	26027-38-3
p80	POLYSORBATE 80	9005-65-6
pno	POLYVINYLPYRIDINE-N-OXIDE	9045-81-2
khc	POTASSIUM BICARBONATE	298-14-6
ptc	POTASSIUM CHLORIDE	7447-40-7
pio	POTASSIUM IODIDE	7681-11-0
pra	PRACTOLOL	6673-35-4
pbh	PRANLUKAST HYDRATE	150821-03-7
pzp	PRAZEPAM	2955-38-6
pzq	PRAZIQUANTEL	55268-74-1
prm	PREDNIMUSTINE	29069-24-7
pdn	PREDNISOLONE	50-24-8
pre	PREDNISONE	53-03-2
prn	PREMARIN	12126-59-9
pmh	PRIMIDOLOL.HCl	40778-40-3
pri	PRIMIDONE	125-33-7
pbc	PROBENECID	57-66-9
prc	PROCARBAZINE	671-16-9
prb	PROCARBAZINE.HCl	366-70-1
prf	PROFLAVINE.HCl HEMIHYDRATE	952-23-8
pmz	PROMETHAZINE.HCl	58-33-3
pro	PRONETHALOL	54-80-8
aln	PRONETHALOL.HCl	51-02-5
prs	PROPANE SULTONE	1120-71-4
ppz	PROPAZINE	139-40-2
ppl	beta-PROPIOLACTONE	57-57-8
pll	PROPRANOLOL.HCl	318-98-9
pec	"PROPYL N-ETHYL-N-BUTYLTHIOCARBAMATE, COMMERCIAL GRADE (78%)"	1114-71-2
pfz	N-N'-PROPYL-N-FORMYLHYDRAZINE	77337-54-3
prg	PROPYL GALLATE	121-79-9
npi	n-PROPYL ISOME	83-59-0
png	N-PROPYL-N'-NITRO-N-NITROSOGUANIDINE	13010-07-6
pnu	N-PROPYL-N-NITROSOUREA	816-57-9
prl	PROPYLENE	115-07-1
plg	PROPYLENE GLYCOL	57-55-6
pgm	PROPYLENE GLYCOL MONO-t-BUTYL ETHER	57018-52-7
prp	"1,2-PROPYLENE OXIDE"	75-56-9
phl	PROPYLHYDRAZINE.HCl	56795-66-5
ptl	PROPYLTHIOURACIL	51-52-5
pqz	PROQUAZONE	22760-18-5
prd	PRORESID	1508-45-8
pca	PROTOCATECHUIC ACID	99-50-3
sxp	SX PURPLE	2611-82-7
pur	PURPURIN	81-54-9
pza	PYRAZINAMIDE	98-96-4
pyr	PYRIDINE	110-86-1
pml	PYRILAMINE MALEATE	59-33-6
dar	PYRIMETHAMINE	58-14-0
qrc	QUERCETIN	117-39-5
qrh	QUERCETIN DIHYDRATE	6151-25-3
eql	QUILLAIA EXTRACT	68990-67-0
qui	QUINAPRIL.HCl	82586-55-8
pqd	p-QUINONE DIOXIME	105-11-3
ram	RAMOSETRON.HCl	132907-72-3
cir	C.I. ACID RED 114	6459-94-5
cms	C.I. FOOD RED 3	3567-69-9
pr3	C.I. PIGMENT RED 3	2425-85-6
r23	C.I. PIGMENT RED 23	6471-49-4
pmx	D & C RED NO. 5	3761-53-3
dr9	D & C RED NO. 9	5160-02-1
d10	D & C RED NO. 10	1248-18-6
p3r	FD & C RED NO. 1	3564-09-8
ama	FD & C RED NO. 2	915-67-3
ery	FD & C RED NO. 3	16423-68-0
psx	FD & C RED NO. 4	4548-53-2
fr6	FOOD RED NO. 106	3520-42-1
hcr	HC RED NO. 3	2871-01-4
rsp	RESERPINE	50-55-5
rsr	RESORCINOL	108-46-3
vaa	RETINOIC ACID	302-79-4
rta	RETINOL ACETATE	127-47-9
vap	RETINOL PALMITATE	79-81-2
rtr	RETRORSINE	480-54-6
rho	RHODAMINE 6G	989-38-8
rid	RIDDELLIINE	23246-96-0
rif	RIFAMPICIN	13292-46-1
rip	RIPAZEPAM	26308-28-1
mag	ROSANILINE.HCl	632-99-5
ros	p-ROSANILINE.HCl	569-61-9
tub	ROTENONE	83-79-4
rts	RUTIN SULFATE	12768-44-4
rth	RUTIN TRIHYDRATE	153-18-4
san	SACCHARIN	81-07-2
csc	"SACCHARIN, CALCIUM"	6485-34-3
sac	"SACCHARIN, SODIUM"	128-44-9
saf	SAFROLE	94-59-7
sab	SALBUTAMOL	18559-94-9
sal	SALICYLAZOSULFAPYRIDINE	599-79-1
scp	SARCOPHYTOL A	72629-69-7
sht	SCOPOLAMINE HYDROBROMIDE TRIHYDRATE	6533-68-2
sdz	SDZ 200-110	122784-89-8
sle	SELENIUM	7782-49-2
dtc	SELENIUM DIETHYLDITHIOCARBAMATE	5456-28-0
sdd	SELENIUM DIMETHYLDITHIOCARBAMATE	144-34-3
sed	SELENIUM DIOXIDE	7446-08-4
sls	SELENIUM SULFIDE	7446-34-6
skk	SENKIRKINE	2318-18-5
sth	SERTRALINE.HCl	79559-97-0
sml	SESAMOL	533-31-3
smz	SIMAZINE	122-34-9
sbb	SODIUM BICARBONATE	144-55-8
sbt	SODIUM BITHIONOLATE	6385-58-6
scl	SODIUM CHLORIDE	7647-14-5
sdt	SODIUM CHLORITE	7758-19-2
cuc	SODIUM COPPER CHLOROPHYLLIN	28302-36-5
sdc	SODIUM DIETHYLDITHIOCARBAMATE TRIHYDRATE	148-18-5
shc	SODIUM HYPOCHLORITE	7681-52-9
sdm	SODIUM METAPHOSPHATE	10361-03-2
sor	SORBIC ACID	110-44-1
stl	SOTALOL.HCl	959-24-0
lec	SOYBEAN LECITHIN	8002-43-5
str	STERIGMATOCYSTIN	10048-13-2
stv	STEVIOSIDE	57817-89-7
std	STODDARD SOLVENT IIC	64742-88-7
stz	STREPTOZOTOCIN	18883-66-4
stb	STROBANE	8001-50-1
sty	STYRENE	100-42-5
bns	STYRENE AND beta-NITROSTYRENE MIXTURE	mixture
sto	STYRENE OXIDE	96-09-3
sua	SUCCINIC ANHYDRIDE	108-30-5
srl	SUCRALOSE	56038-13-2
suc	SUCROSE	57-50-1
sai	SUCROSE ACETATE ISOBUTYRATE	126-13-6
veg	SULFALLATE	95-06-7
suz	SULFAMETHAZINE	57-68-1
ssf	"SULFATE, SODIUM"	7757-82-6
sxx	SULFISOXAZOLE	127-69-5
pmb	"SULFITE, POTASSIUM METABI-"	4429-42-9
sfl	3-SULFOLENE	77-79-2
sba	"4,4'-SULFONYLBISACETANILIDE"	77-46-3
sds	SULINDAC SULFONE	59973-80-7
sux	SUXIBUZONE	27470-51-5
spt	SYMPHYTINE	22571-95-5
t2t	T-2 TOXIN	21259-20-1
tac	TACE	569-57-3
tth	TALTIRELIN TETRAHYDRATE	---
tam	TAMOXIFEN CITRATE	54965-24-1
tna	"TANNIC ACIDS, PHARMACEUTICAL GRADE (85.69% TANNIC ACIDS, 8.84% GALLIC ACIDS)"	1401-55-4
tgm	TARA GUM	39300-88-4
tau	TAURINE	107-35-7
fto	TEGAFUR	37076-68-9
tld	TELODRIN	297-78-9
te2	"TELONE II, TECHNICAL GRADE (WITH 1% EPICHLOROHYDRIN)"	542-75-6
tew	"TELONE II, TECHNICAL GRADE (WITHOUT EPICHLOROHYDRIN)"	542-75-6
tzp	"TEMAZEPAM, PHARMACEUTICAL GRADE"	846-50-4
teb	TERBUTALINE	23031-25-6
tab	"3,3',4,4'-TETRAAMINOBIPHENYL.4HCl"	7411-49-6
tan	"2,3,5,6-TETRACHLORO-4-NITROANISOLE"	2438-88-2
tec	"2,2',5,5'-TETRACHLOROBENZIDINE"	15721-02-5
tcd	"2,3,7,8-TETRACHLORODIBENZO-p-DIOXIN"	1746-01-6
tcs	"2,4,5,4'-TETRACHLORODIPHENYL SULFONE"	116-29-0
4ce	"1,1,1,2-TETRACHLOROETHANE"	630-20-6
4te	"1,1,2,2-TETRACHLOROETHANE"	79-34-5
tre	TETRACHLOROETHYLENE	127-18-4
gar	TETRACHLORVINPHOS	961-11-5
tch	TETRACYCLINE.HCl	64-75-5
dis	TETRAETHYLTHIURAM DISULFIDE	97-77-8
fpd	TETRAFLUORO-m-PHENYLENEDIAMINE.2HCl	63886-77-1
stf	"TETRAFLUOROBORATE, SODIUM"	13755-29-8
f4a	"1,1,1,2-TETRAFLUOROETHANE"	811-97-2
tfe	TETRAFLUOROETHYLENE	116-14-3
tno	"TETRAHYDRO-2-NITROSO-2H-1,2-OXAZINE"	40548-68-3
thc	1-trans-delta9-TETRAHYDROCANNABINOL	1972-08-3
thf	TETRAHYDROFURAN	109-99-9
thu	"3,4,5,6-TETRAHYDROURIDINE"	18771-50-1
tpc	TETRAKIS(HYDROXYMETHYL)PHOSPHONIUM CHLORIDE	124-64-1
tps	TETRAKIS(HYDROXYMETHYL)PHOSPHONIUM SULFATE	55566-30-8
trm	TETRAMETHYLTHIURAM DISULFIDE	137-26-8
tmm	TETRAMETHYLTHIURAM MONOSULFIDE	97-74-5
tnm	TETRANITROMETHANE	509-14-8
tdm	THENYLDIAMINE	91-79-2
the	THEOPHYLLINE	58-55-9
tbz	THIABENDAZOLE	148-79-8
tpn	THIAMPHENICOL	15318-45-3
tep	THIO-TEPA	52-24-4
tha	THIOACETAMIDE	62-55-5
tbb	"4,4'-THIOBIS(6-tert-BUTYL-m-CRESOL)"	96-69-5
tbd	"2,2'-THIOBIS(4,6-DICHLOROPHENOL)"	97-18-7
stc	"THIOCYANATE, SODIUM"	540-72-7
tda	"4,4'-THIODIANILINE"	139-65-1
bsg	beta-THIOGUANINE DEOXYRIBOSIDE	789-61-7
ths	THIOSEMICARBAZIDE	79-19-6
thl	THIOURACIL	141-90-2
tur	THIOUREA	62-56-6
val	TILIDINE FUMARATE	55567-81-2
but	TILISOLOL.HCl	62774-96-3
sta	TIN (II) CHLORIDE	7772-99-8
tit	TITANIUM DIOXIDE	13463-67-7
tmo	"TITANIUM OXALATE, POTASSIUM"	14481-26-6
ttn	TITANOCENE DICHLORIDE	1271-19-8
toc	dl-alpha-TOCOPHEROL	10191-41-0
vte	dl-alpha-TOCOPHEROL ACETATE	7695-91-2
emx	"dl-TOCOPHEROL MIXTURE, NATURAL (alpha, beta, gamma and delta)"	1406-66-2
tlz	TOLAZAMIDE	1156-19-0
tbu	TOLBUTAMIDE	64-77-7
tol	TOLUENE	108-88-3
tdi	"TOLUENE DIISOCYANATE, COMMERCIAL GRADE (2,4 (80%)- AND 2,6 (20%)-)"	26471-62-5
tas	o-TOLUENESULFONAMIDE	88-19-7
ton	m-TOLUIDINE.HCl	638-03-9
tou	o-TOLUIDINE.HCl	636-21-5
pto	p-TOLUIDINE.HCl	540-23-8
tua	p-TOLYLUREA	622-51-5
tmf	TOREMIFENE CITRATE	89778-27-8
tox	TOXAPHENE	8001-35-2
tgg	TRAGACANTH GUM	9000-65-1
tnn	TRENIMON	68-76-8
tma	TRIAMCINOLONE ACETONIDE	76-25-5
